contractor_name_type,document_display_id,document_id,document_type,document_version,effective_date,note,retirement_date,title,updated_on,updated_on_sort,url
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L40330,40330,LCD,6,09/27/2026,Future(Notice Ends 09/26/2026),N/A,Allergy Diagnostic Testing,08/06/2026,20260806151607,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=40330&ver=6
"Palmetto GBA
(MAC - Part A, MAC - Part B)",L40328,40328,LCD,5,09/27/2026,Future(Notice Ends 09/26/2026),N/A,Allergy Diagnostic Testing,08/06/2026,20260806122547,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=40328&ver=5
"Palmetto GBA
(MAC - Part A, MAC - Part B)",L38026,38026,LCD,30,08/13/2026,,N/A,Corneal Hysteresis,08/06/2026,20260806122059,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=38026&ver=30
"WPS Insurance Corporation
(MAC - Part A, MAC - Part B)",L40341,40341,LCD,6,09/27/2026,Future(Notice Ends 09/26/2026),N/A,Allergy Diagnostic Testing,08/06/2026,20260806111538,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=40341&ver=6
"Noridian Healthcare Solutions, LLC
(MAC - Part A, MAC - Part B)",L40324,40324,LCD,6,09/27/2026,Future(Notice Ends 09/26/2026),N/A,Allergy Diagnostic Testing,08/05/2026,20260805150447,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=40324&ver=6
"Noridian Healthcare Solutions, LLC
(MAC - Part A, MAC - Part B)",L40255,40255,LCD,8,08/13/2026,(Notice Ended 06/20/2026),N/A,Temporary Nontherapeutic Ambulatory Cardiac Monitoring Devices,08/05/2026,20260805083222,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=40255&ver=8
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L37244,37244,LCD,41,04/01/2026,,N/A,Micro-Invasive Glaucoma Surgery (MIGS),08/04/2026,20260804092329,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=37244&ver=41
"Palmetto GBA
(MAC - Part A, MAC - Part B)",L37761,37761,LCD,23,06/02/2024,Retired,07/31/2026,Magnetic Resonance Image Guided High Intensity Focused Ultrasound (MRgFUS) for Essential Tremor,07/31/2026,20260731230005,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=37761&ver=23
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L37421,37421,LCD,37,04/01/2026,Retired,07/31/2026,Magnetic Resonance Image Guided High Intensity Focused Ultrasound (MRgFUS) for Tremor,07/31/2026,20260731230005,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=37421&ver=37
"CGS Administrators, LLC
(MAC - Part A, MAC - Part B)",L37790,37790,LCD,21,09/04/2025,Retired,07/31/2026,Magnetic Resonance Guided Focused Ultrasound Surgery System (MRgFUS) for the treatment of neurologic conditions,07/31/2026,20260731230004,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=37790&ver=21
"Wellpoint Federal
(MAC - Part B)",L39027,39027,LCD,8,04/01/2026,,N/A,Respiratory Pathogen Panel Testing,07/30/2026,20260730150224,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39027&ver=8
"CGS Administrators, LLC
(HHH MAC)",L33942,33942,LCD,50,08/06/2026,,N/A,Physical Therapy - Home Health,07/27/2026,20260727121917,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=33942&ver=50
"CGS Administrators, LLC
(HHH MAC)",L34538,34538,LCD,21,08/06/2026,,N/A,Hospice Determining Terminal Status,07/27/2026,20260727121229,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=34538&ver=21
"CGS Administrators, LLC
(MAC - Part A, MAC - Part B)",L33996,33996,LCD,33,08/06/2026,,N/A,Vitamin D Assay Testing,07/27/2026,20260727111025,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=33996&ver=33
"CGS Administrators, LLC
(MAC - Part A, MAC - Part B)",L34061,34061,LCD,26,08/06/2026,,N/A,Scanning Computerized Ophthalmic Diagnostic Imaging (SCODI),07/27/2026,20260727101046,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=34061&ver=26
"CGS Administrators, LLC
(MAC - Part A, MAC - Part B)",L34246,34246,LCD,26,07/30/2026,,N/A,Routine Foot Care and Debridement of Nails,07/24/2026,20260724174131,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=34246&ver=26
"CGS Administrators, LLC
(MAC - Part A, MAC - Part B)",L34200,34200,LCD,30,07/30/2026,,N/A,Removal of Benign Skin Lesions,07/24/2026,20260724171810,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=34200&ver=30
"CGS Administrators, LLC
(MAC - Part A, MAC - Part B)",L34063,34063,LCD,19,07/30/2026,,N/A,RAST Type Tests,07/24/2026,20260724170946,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=34063&ver=19
"CGS Administrators, LLC
(MAC - Part A, MAC - Part B)",L38920,38920,LCD,16,07/30/2026,,N/A,Off-label Use of Rituximab and Rituximab Biosimilars,07/24/2026,20260724170743,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=38920&ver=16
"CGS Administrators, LLC
(MAC - Part A, MAC - Part B)",L35986,35986,LCD,38,07/30/2026,,N/A,Special Histochemical Stains and Immunohistochemical Stains,07/24/2026,20260724170459,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=35986&ver=38
"CGS Administrators, LLC
(MAC - Part A, MAC - Part B)",L37608,37608,LCD,22,07/30/2026,,N/A,MDS FISH,07/24/2026,20260724161933,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=37608&ver=22
"WPS Insurance Corporation
(MAC - Part A, MAC - Part B)",L34659,34659,LCD,32,07/30/2026,,N/A,Endoscopic Treatment of GERD,07/24/2026,20260724084617,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=34659&ver=32
"WPS Insurance Corporation
(MAC - Part A, MAC - Part B)",L38213,38213,LCD,13,07/30/2026,,N/A,Percutaneous Vertebral Augmentation (PVA) for Vertebral Compression Fracture (VCF),07/24/2026,20260724081055,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=38213&ver=13
"WPS Insurance Corporation
(MAC - Part A, MAC - Part B)",L39905,39905,LCD,5,07/30/2026,,N/A,Cataract Surgery,07/24/2026,20260724074352,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39905&ver=5
"First Coast Service Options, Inc.
(MAC - Part A, MAC - Part B)",L33912,33912,LCD,23,09/06/2026,Future(Notice Ends 09/05/2026),N/A,Trigger Point Injections,07/17/2026,20260717141112,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=33912&ver=23
"Novitas Solutions, Inc.
(MAC - Part A, MAC - Part B)",L35010,35010,LCD,50,09/06/2026,Future(Notice Ends 09/05/2026),N/A,Trigger Point Injections,07/17/2026,20260717140709,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=35010&ver=50
"CGS Administrators, LLC
(MAC - Part A, MAC - Part B)",L38773,38773,LCD,32,07/23/2026,,N/A,Facet Joint Interventions for Pain Management,07/17/2026,20260717100541,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=38773&ver=32
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L33398,33398,LCD,40,08/09/2026,(Notice Ended 08/08/2026),N/A,Transcranial Magnetic Stimulation,07/16/2026,20260716135429,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=33398&ver=40
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L40302,40302,LCD,3,07/15/2026,(Notice Ended 07/14/2026),N/A,Thermal Destruction of the Intraosseous Basivertebral Nerve (BVN) for Vertebrogenic Lower Back Pain,07/16/2026,20260716132953,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=40302&ver=3
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L33591,33591,LCD,19,04/01/2026,,N/A,RAST Type Tests,07/16/2026,20260716132630,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=33591&ver=19
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L35000,35000,LCD,156,07/15/2026,(Notice Ended 07/14/2026),N/A,Molecular Pathology Procedures,07/16/2026,20260716132103,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=35000&ver=156
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L37810,37810,LCD,26,05/15/2026,,N/A,Genomic Sequence Analysis Panels in the Treatment of Solid Organ Neoplasms,07/16/2026,20260716131811,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=37810&ver=26
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L35936,35936,LCD,59,04/09/2026,,N/A,Facet Joint Interventions for Pain Management,07/16/2026,20260716131536,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=35936&ver=59
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L40334,40334,LCD,3,07/15/2026,(Notice Ended 07/14/2026),N/A,Erythropoiesis Stimulating Agents,07/16/2026,20260716131248,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=40334&ver=3
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L39036,39036,LCD,24,05/07/2026,,N/A,Epidural Steroid Injections for Pain Management,07/16/2026,20260716130837,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39036&ver=24
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L33394,33394,LCD,55,07/13/2026,,N/A,"Drugs and Biologicals, Coverage of, for Label and Off-Label Uses",07/16/2026,20260716130603,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=33394&ver=55
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L39770,39770,LCD,15,04/09/2026,,N/A,Cervical Fusion,07/16/2026,20260716113155,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39770&ver=15
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L39832,39832,LCD,15,02/22/2026,,N/A,Botulinum Toxin Injections,07/15/2026,20260715174953,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39832&ver=15
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L33575,33575,LCD,44,04/01/2026,,N/A,"Varicose Veins of the Lower Extremity, Treatment of",07/14/2026,20260714164159,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=33575&ver=44
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L35028,35028,LCD,11,04/01/2026,,N/A,Venous Angioplasty with or without Stent Placement for the Treatment of Chronic Cerebrospinal Venous Insufficiency,07/14/2026,20260714164159,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=35028&ver=11
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L36831,36831,LCD,35,04/01/2026,,N/A,Visual Electrophysiology Testing,07/14/2026,20260714164159,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=36831&ver=35
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L33574,33574,LCD,38,04/01/2026,,N/A,Visual Fields Testing,07/14/2026,20260714164159,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=33574&ver=38
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L37535,37535,LCD,19,04/01/2026,,N/A,Vitamin D Assay Testing,07/14/2026,20260714164159,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=37535&ver=19
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L33636,33636,LCD,53,04/01/2026,,N/A,Routine Foot Care and Debridement of Nails,07/14/2026,20260714164158,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=33636&ver=53
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L39455,39455,LCD,7,04/01/2026,,N/A,Sacroiliac Joint Injections and Procedures,07/14/2026,20260714164158,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39455&ver=7
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L34380,34380,LCD,42,04/01/2026,,N/A,Scanning Computerized Ophthalmic Diagnostic Imaging (SCODI),07/14/2026,20260714164158,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=34380&ver=42
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L35080,35080,LCD,54,04/01/2026,,N/A,Select Minimally Invasive GERD Procedures,07/14/2026,20260714164158,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=35080&ver=54
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L33580,33580,LCD,41,04/01/2026,,N/A,Speech-Language Pathology,07/14/2026,20260714164158,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=33580&ver=41
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L35076,35076,LCD,57,04/01/2026,,N/A,Stereotactic Radiation Therapy: Stereotactic Radiosurgery (SRS) and Stereotactic Body Radiation Therapy (SBRT),07/14/2026,20260714164158,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=35076&ver=57
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L40168,40168,LCD,9,04/01/2026,,N/A,Superficial Radiation Therapy (SRT) for the Treatment of Nonmelanoma Skin Cancers (NMSC),07/14/2026,20260714164158,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=40168&ver=9
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L38968,38968,LCD,5,04/01/2026,,N/A,Thyroid Nodule Molecular Testing,07/14/2026,20260714164158,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=38968&ver=5
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L36039,36039,LCD,13,04/01/2026,,N/A,Total Joint Arthroplasty,07/14/2026,20260714164158,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=36039&ver=13
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L33579,33579,LCD,39,04/01/2026,,N/A,Transesophageal Echocardiography (TEE),07/14/2026,20260714164158,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=33579&ver=39
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L33578,33578,LCD,18,04/01/2026,,N/A,Transrectal Ultrasound,07/14/2026,20260714164158,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=33578&ver=18
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L33577,33577,LCD,44,04/01/2026,,N/A,Transthoracic Echocardiography (TTE),07/14/2026,20260714164158,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=33577&ver=44
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L39662,39662,LCD,6,04/01/2026,,N/A,Trigger Point Injections (TPI),07/14/2026,20260714164158,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39662&ver=6
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L39611,39611,LCD,5,04/01/2026,,N/A,Urine Drug Testing,07/14/2026,20260714164158,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39611&ver=5
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L33576,33576,LCD,24,04/01/2026,,N/A,Urodynamics,07/14/2026,20260714164158,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=33576&ver=24
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L33616,33616,LCD,11,04/01/2026,,N/A,Osteopathic Manipulative Treatment,07/14/2026,20260714164157,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=33616&ver=11
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L33631,33631,LCD,52,04/01/2026,,N/A,Outpatient Physical and Occupational Therapy Services,07/14/2026,20260714164157,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=33631&ver=52
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L33622,33622,LCD,36,04/01/2026,,N/A,"Pain Management - Injection of tendon sheaths, ligaments, ganglion cysts, carpal and tarsal tunnels",07/14/2026,20260714164157,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=33622&ver=36
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L33628,33628,LCD,34,04/01/2026,,N/A,Panretinal (Scatter) Laser Photocoagulation,07/14/2026,20260714164157,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=33628&ver=34
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L33623,33623,LCD,26,04/01/2026,,N/A,Percutaneous Coronary Intervention,07/14/2026,20260714164157,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=33623&ver=26
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L33569,33569,LCD,32,04/01/2026,,N/A,Percutaneous Vertebral Augmentation (PVA) for Osteoporotic Vertebral Compression Fracture (VCF),07/14/2026,20260714164157,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=33569&ver=32
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L36850,36850,LCD,25,04/01/2026,,N/A,Peripheral Nerve Blocks,07/14/2026,20260714164157,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=36850&ver=25
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L39995,39995,LCD,6,04/01/2026,,N/A,Pharmacogenomic Testing,07/14/2026,20260714164157,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39995&ver=6
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L38937,38937,LCD,7,04/01/2026,,N/A,Platelet Rich Plasma,07/14/2026,20260714164157,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=38937&ver=7
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L33396,33396,LCD,11,04/01/2026,,N/A,Posterior Tibial Nerve Stimulation for Voiding Dysfunction,07/14/2026,20260714164157,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=33396&ver=11
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L35075,35075,LCD,35,04/01/2026,,N/A,Proton Beam Therapy,07/14/2026,20260714164157,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=35075&ver=35
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L33624,33624,LCD,34,04/01/2026,,N/A,Psychiatric Inpatient Hospitalization,07/14/2026,20260714164157,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=33624&ver=34
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L33626,33626,LCD,45,04/01/2026,,N/A,Psychiatric Partial Hospitalization Programs,07/14/2026,20260714164157,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=33626&ver=45
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L33632,33632,LCD,83,04/01/2026,,N/A,Psychiatry and Psychology Services,07/14/2026,20260714164157,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=33632&ver=83
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L35001,35001,LCD,12,04/01/2026,,N/A,Reduction Mammaplasty,07/14/2026,20260714164157,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=35001&ver=12
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L39726,39726,LCD,4,04/01/2026,,N/A,KidneyIntelX and KidneyIntelX.dkd Testing,07/14/2026,20260714164156,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39726&ver=4
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L33633,33633,LCD,50,04/01/2026,,N/A,Magnetic Resonance Angiography (MRA),07/14/2026,20260714164156,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=33633&ver=50
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L39189,39189,LCD,8,04/01/2026,,N/A,Mass Spectrometry (MS) Testing in Monoclonal Gammopathy (MG),07/14/2026,20260714164156,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39189&ver=8
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L36406,36406,LCD,10,04/01/2026,,N/A,Minimally-invasive Surgical (MIS) Fusion of the Sacroiliac (SI) Joint,07/14/2026,20260714164156,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=36406&ver=10
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L38371,38371,LCD,13,04/01/2026,,N/A,Multimarker Serum Tests Related to Ovarian Cancer Testing,07/14/2026,20260714164156,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=38371&ver=13
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L39226,39226,LCD,13,04/01/2026,,N/A,Multiplex Gastrointestinal Pathogen Panel (GPP) Tests for Acute Gastroenteritis (AGE),07/14/2026,20260714164156,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39226&ver=13
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L35098,35098,LCD,28,04/01/2026,,N/A,Nerve Conduction Studies and Electromyography,07/14/2026,20260714164156,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=35098&ver=28
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L39075,39075,LCD,15,04/01/2026,,N/A,Non-Invasive Fractional Flow Reserve (FFR) for Ischemic Heart Disease,07/14/2026,20260714164156,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39075&ver=15
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L33627,33627,LCD,90,04/01/2026,,N/A,Non-Invasive Vascular Studies,07/14/2026,20260714164156,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=33627&ver=90
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L33619,33619,LCD,25,04/01/2026,,N/A,Nonvascular Extremity Ultrasound,07/14/2026,20260714164156,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=33619&ver=25
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L39314,39314,LCD,12,04/01/2026,,N/A,Off-Label Use of Intravenous Immune Globulin (IVIG),07/14/2026,20260714164156,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39314&ver=12
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L39297,39297,LCD,7,04/01/2026,,N/A,Off-label Use of Rituximab and Rituximab Biosimilars,07/14/2026,20260714164156,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39297&ver=7
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L33621,33621,LCD,16,04/01/2026,,N/A,Ophthalmic Biometry for Intraocular Lens Power Calculation,07/14/2026,20260714164156,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=33621&ver=16
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L33567,33567,LCD,28,04/01/2026,,N/A,Ophthalmology: Posterior Segment Imaging (Extended Ophthalmoscopy and Fundus Photography),07/14/2026,20260714164156,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=33567&ver=28
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L38571,38571,LCD,9,04/01/2026,,N/A,Colon Capsule Endoscopy (CCE),07/14/2026,20260714164155,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=38571&ver=9
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L38667,38667,LCD,4,04/01/2026,,N/A,Computed Tomography Cerebral Perfusion Analysis (CTP),07/14/2026,20260714164155,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=38667&ver=4
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L38014,38014,LCD,9,04/01/2026,,N/A,Corneal Hysteresis,07/14/2026,20260714164155,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=38014&ver=9
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L33630,33630,LCD,28,04/01/2026,,N/A,Corneal Pachymetry,07/14/2026,20260714164155,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=33630&ver=28
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L33614,33614,LCD,27,04/01/2026,,N/A,Debridement Services,07/14/2026,20260714164155,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=33614&ver=27
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L33399,33399,LCD,15,04/01/2026,,N/A,EEG – Ambulatory Monitoring,07/14/2026,20260714164155,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=33399&ver=15
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L38367,38367,LCD,32,04/01/2026,,N/A,Fluid Jet System Treatment for LUTS/BPH,07/14/2026,20260714164155,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=38367&ver=32
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L37475,37475,LCD,18,04/01/2026,,N/A,Frequency of Hemodialysis,07/14/2026,20260714164155,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=37475&ver=18
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L37606,37606,LCD,18,04/01/2026,,N/A,Genomic Sequence Analysis Panels in the Treatment of Hematolymphoid Diseases,07/14/2026,20260714164155,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=37606&ver=18
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L35074,35074,LCD,33,04/01/2026,,N/A,Heavy Metal Testing,07/14/2026,20260714164155,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=35074&ver=33
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L38387,38387,LCD,8,04/01/2026,,N/A,Hypoglossal Nerve Stimulation for the Treatment of Obstructive Sleep Apnea,07/14/2026,20260714164155,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=38387&ver=8
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L38623,38623,LCD,21,04/01/2026,,N/A,Implantable Continuous Glucose Monitors (I-CGM),07/14/2026,20260714164155,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=38623&ver=21
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L33563,33563,LCD,27,04/01/2026,,N/A,"Incision and Drainage (I &amp; D) of Abscess of Skin, Subcutaneous and Accessory Structures",07/14/2026,20260714164155,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=33563&ver=27
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L40048,40048,LCD,6,04/01/2026,,N/A,Allergen Immunotherapy (AIT) with Subcutaneous Immunotherapy (SCIT),07/14/2026,20260714164154,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=40048&ver=6
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L39513,39513,LCD,4,04/01/2026,,N/A,Allogeneic Hematopoietic Cell Transplantation for Primary Refractory or Relapsed Hodgkin and Non-Hodgkin Lymphoma with B-cell or T-cell Origin,07/14/2026,20260714164154,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39513&ver=4
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L39139,39139,LCD,5,04/01/2026,,N/A,"Amniotic and Placental-Derived Product Injections and/or Applications for Musculoskeletal Indications, Non-Wound",07/14/2026,20260714164154,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39139&ver=5
